Profile ID;Organisation;Location;Work Category;
33140;Aaskiran Charitable Trust;Uttar Pradesh, Ghaziabad;Children - Street Children , Medical - Services;
17152;Aasra;Maharashtra, Navi Mumbai;Support Groups;
2774;Aasra Foundation;Chandigarh, Chandigarh;Children - Education , Children - Education;
41312;Aasraya Women and Children Charitable Trust;Kerala, Thiruvananthapuram;Children , Medical - Cancer , Women;
15470;Aastha Foundation;Maharashtra, Mumbai, Malad (E);Blood donation , Children - Education , Institution;
12218;Aastha Gram Trust;Madhya Pradesh, Khargone;Disabilities , Medical - Leprosy;
17144;Aastha Oldagehome;Maharashtra, Navi Mumbai;Senior Citizens;
14076;Aastha Parivaar;Maharashtra, Mumbai, Charni Road;Capacity Building , Medical - HIV / AIDs , Women;
12216;Aastha Welfare Society;Madhya Pradesh, Khandwa;Art and Culture , Vocational Training , Youth;
32840;Aastha Welfare Society - Uttar Pradesh;Uttar Pradesh, Agra;Children - Education , Environment , Women;
36414;Aathma Foundation Charitable Trust;Karnataka, Bangalore;Ambulance , Children - Education , Education - Literacy;
26970;Aathmalayaa Charitable Trust;Tamil Nadu, Coimbatore;Children - Orphanages , Medical - Services;
1522;Aathmeeya Manasika Vikasa Kenduram;Andhra Pradesh, Secunderabad;Disabilities - Mentally - Challenged;
3696;Aatma;Gujarat, Ahmedabad;Education - Literacy , Medical - Alternative Therapies , Social Welfare;
22298;aatmaa;Punjab, Kapurthala;Human Rights;
2342;AAVA Public School;Bihar, Others;Children - Education , Citizen Groups , Social Welfare;
17050;Aavhan Pratishthan;Maharashtra, Navi Mumbai;Education - Literacy , Environment , Rural and Urban Development;
14440;Aavishkar Enlightening Lives;Maharashtra, Mumbai, Dadar (W);Social Welfare;
12874;Aavishkar Gramin Vikas Sanstha;Maharashtra, Beed;Children - Education , Health - Yoga , Rural and Urban Development;
18172;Aavishkar Society for Development of Mentally Handicapped;Maharashtra, Ratnagiri;Disabilities - Mentally - Challenged;
18176;Aavishkar Society for Development of Mentally Handicapped;Maharashtra, Ratnagiri;Children - Education , Social Welfare;
16152;Aawhan Palak Sangh;Maharashtra, Mumbai, Shivaji Park;Children , Disabilities , Vocational Training;
11318;Aayaam;Madhya Pradesh, Bhopal;Art and Culture , Education - Literacy , Environment;
23010;Aayam Institute of Research and Development;Rajasthan, Jaipur;Behavioural Sciences , Medical - Health;
16978;Aayushgroups;Maharashtra, Navi Mumbai;Medical - Health , Medical - Naturopathy;
14938;Aayushmaan Social Wellness Foundation;Maharashtra, Mumbai, Goregaon (W);Children - Child Guidance Clinic , Education - Literacy , Empowerment;
6506;AB Lincon Educational & Social Welfare Society;Delhi, Delhi;Children - Education;
20628;Abaj-adivasi Harijan Seva Sangha;Orissa, Dhenkanal;Rural Development;
36614;Abalashram;Karnataka, Bangalore;Women;
36636;Abalashrama;Karnataka, Bangalore;Empowerment , Holistic Development , Women;
1176;Abba Aims Society;Andhra Pradesh, Krishna;Children - Education , Disabilities - Physically - Challenged , Medical - HIV / AIDs;
33180;Abbasi Educational Welfare Society;Uttar Pradesh, Gorakhpur;Environment , Medical - HIV / AIDs , Medical - Reproductive Health;
19998;abcus;Orissa, Bhubaneshwar;Children - Education , Environment , Social Welfare;
15660;Abha and Pradip Memorial Charitable Trust;Maharashtra, Mumbai, Matunga (E);Children , Children - Orphanages , Environment;
13888;Abhas Sanskar Kendra;Maharashtra, Mumbai, Bhandup (W);Social Welfare;
7790;ABHAS- Action Beyond Help and Support;Delhi, Delhi;Social Welfare;
22968;Abhay Anurthan society;Rajasthan, Jaipur;Social Welfare;
41316;Abhaya;Kerala, Thiruvananthapuram;De-addiction , Disabilities - Mentally - Challenged , Women;
39770;Abhaya Ashraya;Karnataka, Mangalore;Children - Education;
41116;Abhaya Charitable Society;Kerala, Kollam;Women;
934;Abhaya Pradha Speech School;Andhra Pradesh, Hyderabad;Children - Education , Disabilities - Hearing - Challenged , Disabilities - Mentally - Challenged;
20954;Abhaya Seva Sangh;Orissa, Khurdha;Social Welfare;
36484;Abhayashrama;Karnataka, Bangalore;Education - Literacy , Medical - Services , Women;
33290;abhiansh samajik seva sansthan;Uttar Pradesh, Kanpur;Education - Literacy;
2252;Abhigyan Disha;Bihar, Madhubani;Education - Literacy , Environment , Women;
12728;Abhikram;Maharashtra, Amravati;Rural Development;
3442;Abhikram;Gujarat, Ahmedabad;Social Welfare;
21544;Abhilash;Orissa, Puri;Social Welfare;
2566;ABHILASHA;Bihar, Patna;Self Help Groups;
16882;ABHINAV;Maharashtra, Nasik;Business - Industry Association , Business - NGO Products , Children - Education;
33216;Abhinav Foundation;Uttar Pradesh, Gorakhpur;Disaster Management , Rural Development , Sustainable Development;
33450;Abhinav Gramya Vikas Sansthan;Uttar Pradesh, Lucknow;Children - Education , Environment , Rural Development;
2850;Abhinav Kalyan Avam Samaj Seva Sanstah;Chhattisgarh;Business - Management and Research , Capacity Building , Education - Literacy;
13926;Abhinav Mahila Mandal;Maharashtra, Mumbai, Borivali (E);Social Welfare;
17522;abhinav mitra mandal;Maharashtra, Pune;De-addiction , Education - Literacy , Rural Development;
2642;ABHINAV NIRMAN;Bihar, Samastipur;Children - Early Intervention , Children - Street Children , Community Development;
33178;abhinavprayas;Uttar Pradesh, Gorakhpur;Social Welfare , Social Welfare;
12372;Abhinaytosh Mahila Balvikash Samiti;Madhya Pradesh, Sagar;Community Development , Medical - HIV / AIDs , Women;
736;abhipraay;Andhra Pradesh, Hyderabad;Art and Culture , Capacity Building;
18648;Abhishek Mahila Bachat Gat;Maharashtra, Thane;Art and Culture , Capacity Building , Community Development;
6576;Abhishiktananda Society;Delhi, Delhi;Trusts;
6068;Abhishyam Foundation;Gujarat, Valsad;Children - Education , Community Development;
40830;Abhivruddi;Karnataka, Tumkur;Children - Education , Rural Development , Self Help Groups;
40814;ABHIVRUDDI-GUBBI;Karnataka, Tumkur;Children , Rural and Urban Development , Vocational Training;
33292;Abhivyakta Foundation;Uttar Pradesh, Kanpur;Medical - Hospital , Women;
33294;Abhivyakta Foundation;Uttar Pradesh, Kanpur;Children - Education , Women;
35842;Abhivyakti Foundation;Jharkhand, Giridhi;Social Welfare , Youth;
16918;Abhivyakti Media for Development;Maharashtra, Nasik;Media;
